index,cui,en,en_id,isa,same_as,Usagi_en,Usagi_match_score
44,C1333897,HIF1A,en_44,None,None,HIF1A (hypoxia inducible factor 1 subunit alpha) gene variant measurement (Usagi match score=1),1
45,C1415761,HSPA5,en_45,None,None,HSPA5 (heat shock protein family A (Hsp70) member 5) gene variant measurement (Usagi match score=1),1
46,C1415900,IFNA1,en_46,None,None,IFNA1 (interferon alpha 1) gene variant measurement (Usagi match score=1),1
47,C1415932,IGFBP7,en_47,None,None,IGFBP7 (insulin like growth factor binding protein 7) gene variant measurement (Usagi match score=1),1
48,C1415975,IGHE,en_48,None,None,Ghent (Usagi match score=0.842210412),0.842210412
49,C1334112,IL1B,en_49,None,None,IL1B (interleukin 1 beta) gene variant measurement (Usagi match score=1),1
50,C1416397,IL1RAP,en_50,None,None,IL1RAP (interleukin 1 receptor accessory protein) gene variant measurement (Usagi match score=1),1
51,C1416402,IL1RN,en_51,None,None,IL1RN (interleukin 1 receptor antagonist) gene variant measurement (Usagi match score=1),1
52,C1334105,IL15,en_52,None,None,IL15 (interleukin 15) gene variant measurement (Usagi match score=1),1
53,C1416475,IRF7,en_53,None,None,IRF7 (interferon regulatory factor 7) gene variant measurement (Usagi match score=1),1
54,C1416526,JAG2,en_54,None,None,JAG2 (jagged canonical Notch ligand 2) gene variant measurement (Usagi match score=1),1
55,C1416572,KCNH2,en_55,None,None,KCNH2 (potassium voltage-gated channel subfamily H member 2) gene variant measurement (Usagi match score=1),1
56,C1416724,KRT16,en_56,None,None,KRT16 (keratin 16) gene variant measurement (Usagi match score=1),1
57,C1416806,LCN2,en_57,None,None,LCN2 (lipocalin 2) gene variant measurement (Usagi match score=1),1
58,C1417245,MPO,en_58,None,None,MPO (myeloperoxidase) gene variant measurement (Usagi match score=1),1
59,C1417374,MSR1,en_59,None,None,MSR1 (macrophage scavenger receptor 1) gene variant measurement (Usagi match score=1),1
60,C1417497,MUC5AC,en_60,None,None,"MUC5AC (mucin 5AC, oligomeric mucus/gel-forming) gene variant measurement (Usagi match score=1)",1
61,C1417510,MX1,en_61,None,None,MX1 (MX dynamin like GTPase 1) gene variant measurement (Usagi match score=1),1
62,C1417676,NELL1,en_62,None,None,NELL1 (neural EGFL like 1) gene variant measurement (Usagi match score=1),1
63,C1417719,NGF,en_63,None,None,NGF (nerve growth factor) gene variant measurement (Usagi match score=1),1
64,C1417725,NHS,en_64,None,None,NHS (NHS actin remodeling regulator) gene variant measurement (Usagi match score=1),1
65,C1417897,NVL,en_65,None,None,NVL (nuclear VCP like) gene variant measurement (Usagi match score=1),1
66,C1418215,P2RX7,en_66,None,None,P2RX7 (purinergic receptor P2X 7) gene variant measurement (Usagi match score=1),1
67,C1418218,P2RY11,en_67,None,None,P2RY11 (purinergic receptor P2Y11) gene variant measurement (Usagi match score=1),1
68,C1418563,PIGF,en_68,None,None,PIGF (phosphatidylinositol glycan anchor biosynthesis class F) gene variant measurement (Usagi match score=1),1
69,C1418571,PIK3C2A,en_69,None,None,PIK3C2A (phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha) gene variant measurement (Usagi match score=1),1
70,C1824812,CTSA,en_70,None,None,CTSA (cathepsin A) gene variant measurement (Usagi match score=1),1
71,C1417036,MASP1,en_71,None,None,MASP1 (mannan binding lectin serine peptidase 1) gene variant measurement (Usagi match score=1),1
72,C1419100,PTPN2,en_72,None,None,PTPN2 (protein tyrosine phosphatase non-receptor type 2) gene variant measurement (Usagi match score=1),1
73,C1419388,RIT2,en_73,None,None,RIT2 (Ras like without CAAX 2) gene variant measurement (Usagi match score=1),1
74,C0812281,ROS1,en_74,None,None,"ROS1 (ROS proto-oncogene 1, receptor tyrosine kinase) gene variant measurement (Usagi match score=1)",1
75,C1419608,RP2,en_75,None,None,RP2 (RP2 activator of ARL3 GTPase) gene variant measurement (Usagi match score=1),1
76,C1419742,RPS6KA1,en_76,None,None,RPS6KA1 (ribosomal protein S6 kinase A1) gene variant measurement (Usagi match score=1),1
77,C1419892,SDC2,en_77,None,None,SDC2 (syndecan 2) gene variant measurement (Usagi match score=1),1
78,C1420084,SLAMF1,en_78,None,None,SLAMF1 (signaling lymphocytic activation molecule family member 1) gene variant measurement (Usagi match score=1),1
79,C1420201,SLC5A2,en_79,None,None,SLC5A2 (solute carrier family 5 member 2) gene variant measurement (Usagi match score=1),1
80,C1420292,SNRPE,en_80,None,None,SNRPE (small nuclear ribonucleoprotein polypeptide E) gene variant measurement (Usagi match score=1),1
81,C1420306,SOD1,en_81,None,None,SOD1 (superoxide dismutase 1) gene variant measurement (Usagi match score=1),1
82,C1420398,SREBF1,en_82,None,None,SREBF1 (sterol regulatory element binding transcription factor 1) gene variant measurement (Usagi match score=1),1
83,C1420418,SRY,en_83,None,None,SRY (sex determining region Y) gene variant measurement (Usagi match score=1),1
84,C1412186,ADAM17,en_84,None,None,ADAM17 (ADAM metallopeptidase domain 17) gene variant measurement (Usagi match score=1),1
85,C2183634,TAZ,en_85,None,None,TAZ (tafazzin) gene variant measurement (Usagi match score=1),1
86,C1336634,TLR2,en_86,None,None,TLR2 (toll like receptor 2) gene variant measurement (Usagi match score=1),1
87,C1421313,UCP1,en_87,None,None,UCP1 (uncoupling protein 1) gene variant measurement (Usagi match score=1),1
88,C1421318,SCGB1A1,en_88,None,None,SCGB1A1 (secretoglobin family 1A member 1) gene variant measurement (Usagi match score=1),1
89,C1823619,VEGFA,en_89,None,None,VEGFA (vascular endothelial growth factor A) gene variant measurement (Usagi match score=1),1
90,C1421446,VEGFB,en_90,None,None,VEGFB (vascular endothelial growth factor B) gene variant measurement (Usagi match score=1),1
91,C1420699,TFEB,en_91,None,None,TFEB (transcription factor EB) gene variant measurement (Usagi match score=1),1
92,C1421894,ANP32A,en_92,None,None,ANP32A (acidic nuclear phosphoprotein 32 family member A) gene variant measurement (Usagi match score=1),1
93,N/A,HIST1H4K,en_93,None,None,H4C12 (H4 clustered histone 12) gene variant measurement (Usagi match score=1),1
94,C1417945,OGT,en_94,None,None,OGT (O-linked N-acetylglucosamine (GlcNAc) transferase) gene variant measurement (Usagi match score=1),1
95,C1412485,APOL1,en_95,None,None,APOL1 (apolipoprotein L1) gene variant measurement (Usagi match score=1),1
96,C1421421,VAMP4,en_96,None,None,VAMP4 (vesicle associated membrane protein 4) gene variant measurement (Usagi match score=1),1
97,C3811915,SUCLA2,en_97,None,None,SUCLA2 (succinate-CoA ligase ADP-forming subunit beta) gene variant measurement (Usagi match score=1),1
98,C1412302,AIP,en_98,None,None,AIP (aryl hydrocarbon receptor interacting protein) gene variant measurement (Usagi match score=1),1
99,C1413204,CD163,en_99,None,None,CD163 (CD163 molecule) gene variant measurement (Usagi match score=1),1
100,C1412208,ADAMTS2,en_100,None,None,ADAMTS2 (ADAM metallopeptidase with thrombospondin type 1 motif 2) gene variant measurement (Usagi match score=1),1
101,C1825621,ISG15,en_101,None,None,ISG15 (ISG15 ubiquitin like modifier) gene variant measurement (Usagi match score=1),1
102,C1823635,DCAF1,en_102,None,None,DCAF1 (DDB1 and CUL4 associated factor 1) gene variant measurement (Usagi match score=1),1
103,C1537443,PCLAF,en_103,None,None,PCLAF (PCNA clamp associated factor) gene variant measurement (Usagi match score=1),1
104,C1427969,KEAP1,en_104,None,None,KEAP1 (kelch like ECH associated protein 1) gene variant measurement (Usagi match score=1),1
105,C1335864,ABI1,en_105,None,None,ABI1 (abl interactor 1) gene variant measurement (Usagi match score=1),1
106,C1336638,TLR6,en_106,None,None,TLR6 (toll like receptor 6) gene variant measurement (Usagi match score=1),1
107,C1418944,PROCR,en_107,None,None,PROCR (protein C receptor) gene variant measurement (Usagi match score=1),1
108,C1420362,SPINT2,en_108,None,None,"SPINT2 (serine peptidase inhibitor, Kunitz type 2) gene variant measurement (Usagi match score=1)",1
109,C1420816,TNFSF13B,en_109,None,None,TNFSF13B (TNF superfamily member 13b) gene variant measurement (Usagi match score=1),1
110,C1417143,MGEA5,en_110,None,None,OGA (O-GlcNAcase) gene variant measurement (Usagi match score=1),1
111,C1420470,PLK4,en_111,None,None,PLK4 (polo like kinase 4) gene variant measurement (Usagi match score=1),1
112,C1540046,TRAF3IP2,en_112,None,None,TRAF3IP2 (TRAF3 interacting protein 2) gene variant measurement (Usagi match score=1),1
113,C3470078,DIAPH2-AS1,en_113,None,None,DIAPH2 (diaphanous related formin 2) gene variant measurement (Usagi match score=0.577015042),0.577015042
114,C1825038,EHMT2,en_114,None,None,EHMT2 (euchromatic histone lysine methyltransferase 2) gene variant measurement (Usagi match score=1),1
115,C1419090,PTP4A3,en_115,None,None,PTP4A3 (protein tyrosine phosphatase 4A3) gene variant measurement (Usagi match score=1),1
116,C1423557,NLGN4Y,en_116,None,None,NLGN4Y (neuroligin 4 Y-linked) gene variant measurement (Usagi match score=1),1
117,C1426329,AAK1,en_117,None,None,AAK1 (AP2 associated kinase 1) gene variant measurement (Usagi match score=1),1
118,C1425569,ZHX2,en_118,None,None,ZHX2 (zinc fingers and homeoboxes 2) gene variant measurement (Usagi match score=1),1
119,C1425775,KLRK1,en_119,None,None,KLRK1 (killer cell lectin like receptor K1) gene variant measurement (Usagi match score=1),1
120,C1428785,KDM1A,en_120,None,None,KDM1A (lysine demethylase 1A) gene variant measurement (Usagi match score=1),1
121,C1423062,SIRT1,en_121,None,None,SIRT1 (sirtuin 1) gene variant measurement (Usagi match score=1),1
122,C1428254,POLDIP2,en_122,None,None,POLDIP2 (DNA polymerase delta interacting protein 2) gene variant measurement (Usagi match score=1),1
123,C1539096,CLEC4E,en_123,None,None,CLEC4E (C-type lectin domain family 4 member E) gene variant measurement (Usagi match score=1),1
124,C1456389,NOX1,en_124,None,None,NOX1 (NADPH oxidase 1) gene variant measurement (Usagi match score=1),1
125,C1540220,ERLEC1,en_125,None,None,ERLEC1 (endoplasmic reticulum lectin 1) gene variant measurement (Usagi match score=1),1
126,C1823612,UTP20,en_126,None,None,UTP20 (UTP20 small subunit processome component) gene variant measurement (Usagi match score=1),1
127,C0812381;C1419345,ABL2|RERE,en_127,None,None,"ABL2 (ABL proto-oncogene 2, non-receptor tyrosine kinase) gene variant measurement (Usagi match score=0.430860281)",0.430860281
128,C1822686,SETD2,en_128,None,None,"SETD2 (SET domain containing 2, histone lysine methyltransferase) gene variant measurement (Usagi match score=1)",1
129,C1421348,UHRF1,en_129,None,None,UHRF1 (ubiquitin like with PHD and ring finger domains 1) gene variant measurement (Usagi match score=1),1
130,C1426033,PSAT1,en_130,None,None,PSAT1 (phosphoserine aminotransferase 1) gene variant measurement (Usagi match score=1),1
131,C1416467,FOXP3,en_131,None,None,FOXP3 (forkhead box P3) gene variant measurement (Usagi match score=1),1
132,C1423896,SERPINA10,en_132,None,None,SERPINA10 (serpin family A member 10) gene variant measurement (Usagi match score=1),1
133,C1423842,NELFCD,en_133,None,None,NELFCD (negative elongation factor complex member C/D) gene variant measurement (Usagi match score=1),1
134,C1423526,IL23A,en_134,None,None,IL23A (interleukin 23 subunit alpha) gene variant measurement (Usagi match score=1),1
135,C1423633,TLR9,en_135,None,same_as Toll-like receptor 9,TLR9 (toll like receptor 9) gene variant measurement (Usagi match score=1),1
136,C1425067,TREM2,en_136,None,None,TREM2 (triggering receptor expressed on myeloid cells 2) gene variant measurement (Usagi match score=1),1
137,C1423878,SASH3,en_137,None,None,SASH3 (SAM and SH3 domain containing 3) gene variant measurement (Usagi match score=1),1
138,C1414072,DLL4,en_138,None,None,DLL4 (delta like canonical Notch ligand 4) gene variant measurement (Usagi match score=1),1
139,C1825692,TET2,en_139,None,None,TET2 (tet methylcytosine dioxygenase 2) gene variant measurement (Usagi match score=1),1
140,C1425041,SARS2,en_140,None,None,"SARS2 (seryl-tRNA synthetase 2, mitochondrial) gene variant measurement (Usagi match score=1)",1
141,C1428492,TRMT1,en_141,None,None,TRMT1 (tRNA methyltransferase 1) gene variant measurement (Usagi match score=1),1
142,C1424084,RALGAPA2,en_142,None,None,RALGAPA2 (Ral GTPase activating protein catalytic subunit alpha 2) gene variant measurement (Usagi match score=1),1
143,C1864770,MAVS,en_143,None,None,MAVS (mitochondrial antiviral signaling protein) gene variant measurement (Usagi match score=1),1
144,C1426088,STIM2,en_144,None,None,STIM2 (stromal interaction molecule 2) gene variant measurement (Usagi match score=1),1
145,C1422198,PRX,en_145,None,None,PRX (periaxin) gene variant measurement (Usagi match score=1),1
146,C1826449,NOD2,en_146,None,None,NOD2 (nucleotide binding oligomerization domain containing 2) gene variant measurement (Usagi match score=1),1
147,C1537399,IFIH1,en_147,None,None,IFIH1 (interferon induced with helicase C domain 1) gene variant measurement (Usagi match score=1),1
148,C1539887,STRA6,en_148,None,None,STRA6 (signaling receptor and transporter of retinol STRA6) gene variant measurement (Usagi match score=1),1
149,C1824415,C16orf58,en_149,None,None,C16orf58 (chromosome 16 open reading frame 58) gene variant measurement (Usagi match score=1),1
150,C1425330,P2RY12,en_150,None,None,P2RY12 (purinergic receptor P2Y12) gene variant measurement (Usagi match score=1),1
151,C1538901,ACD,en_151,None,None,ACD (ACD shelterin complex subunit and telomerase recruitment factor) gene variant measurement (Usagi match score=1),1
152,C1539940,TBL1XR1,en_152,None,None,TBL1XR1 (TBL1X receptor 1) gene variant measurement (Usagi match score=1),1
153,C1417005,MAP1LC3A,en_153,None,None,MAP1LC3A (microtubule associated protein 1 light chain 3 alpha) gene variant measurement (Usagi match score=1),1
154,C1425101,NT5C1A,en_154,None,None,"NT5C1A (5'-nucleotidase, cytosolic IA) gene variant measurement (Usagi match score=1)",1
155,C1423729,CHRFAM7A,en_155,None,None,CHRFAM7A (CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion) gene variant measurement (Usagi match score=1),1
156,C1424082,MGME1,en_156,None,None,MGME1 (mitochondrial genome maintenance exonuclease 1) gene variant measurement (Usagi match score=1),1
157,C1424250,NLRP3,en_157,None,None,NLRP3 (NLR family pyrin domain containing 3) gene variant measurement (Usagi match score=1),1
158,C1426966,WDFY2,en_158,None,None,WDFY2 (WD repeat and FYVE domain containing 2) gene variant measurement (Usagi match score=1),1
159,C1424639,ARAP2,en_159,None,None,"ARAP2 (ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2) gene variant measurement (Usagi match score=1)",1
160,C1425493,SCGB3A2,en_160,None,None,SCGB3A2 (secretoglobin family 3A member 2) gene variant measurement (Usagi match score=1),1
161,C1539908,TAAR1,en_161,None,None,TAAR1 (trace amine associated receptor 1) gene variant measurement (Usagi match score=1),1
162,C1427302,NCOA7,en_162,None,None,NCOA7 (nuclear receptor coactivator 7) gene variant measurement (Usagi match score=1),1
163,C1428378,ANKRD23,en_163,None,None,ANKRD23 (ankyrin repeat domain 23) gene variant measurement (Usagi match score=1),1
164,C2681866,NEAT1,en_164,None,None,SLC6A2 (solute carrier family 6 member 2) gene variant measurement (Usagi match score=0.824612498),0.824612498
165,C1418520,PGP,en_165,None,None,PGP (phosphoglycolate phosphatase) gene variant measurement (Usagi match score=1),1
166,C1412104;C1428109,ACACA|BMS1,en_166,None,None,BMS1 (BMS1 ribosome biogenesis factor) gene variant measurement (Usagi match score=0.555182755),0.555182755
167,C1836267,NIPAL4,en_167,None,None,NIPAL4 (NIPA like domain containing 4) gene variant measurement (Usagi match score=1),1
168,C1428158,SLCO4C1,en_168,None,None,SLCO4C1 (solute carrier organic anion transporter family member 4C1) gene variant measurement (Usagi match score=1),1
169,C1825268,HCC,en_169,None,None,HCCS (holocytochrome c synthase) gene variant measurement (Usagi match score=0.708735764),0.708735764
170,C1367710;C1824180,C5|C5AR1,en_170,None,None,C5AR1 (complement C5a receptor 1) gene variant measurement (Usagi match score=0.630258203),0.630258203
171,C1413188,CCR2,en_171,None,None,CCR2 (C-C motif chemokine receptor 2) gene variant measurement (Usagi match score=1),1
172,C1413043;C1413076,CA2|SLC25A20,en_172,None,None,SLC25A20 (solute carrier family 25 member 20) gene variant measurement (Usagi match score=0.688477337),0.688477337
173,C1538577;C1413571,PARP1|COL11A2,en_173,None,None,COL11A2 (collagen type XI alpha 2 chain) gene variant measurement (Usagi match score=0.607168853),0.607168853
174,C1413451;C1414920,CLCN2|GABRG2,en_174,None,None,GABRG2 (gamma-aminobutyric acid type A receptor subunit gamma2) gene variant measurement (Usagi match score=0.517160714),0.517160714
175,C1332791;C1416786,CSF2|LAMC2,en_175,None,None,CSF2 (colony stimulating factor 2) gene variant measurement (Usagi match score=0.495596528),0.495596528
176,C1333340;C1366882,EPHB2|MAPK1,en_176,None,None,EPHB2 (EPH receptor B2) gene variant measurement (Usagi match score=0.519522369),0.519522369
177,C1414905;C1417701,GABPA|NFE2L2,en_177,None,None,"NFE2L2 (nuclear factor, erythroid 2 like 2) gene variant measurement (Usagi match score=0.60143739)",0.60143739
178,C1415508;C1420088,HELLS|SLC11A1,en_178,None,None,SLC11A1 (solute carrier family 11 member 1) gene variant measurement (Usagi match score=0.7114079),0.7114079
179,C1420490;C1538756,STS|PYCARD,en_179,None,None,PYCARD (PYD and CARD domain containing) gene variant measurement (Usagi match score=0.519982815),0.519982815
180,C1419781;C1419790,S100A1|S100B,en_180,None,None,S100A1 (S100 calcium binding protein A1) gene variant measurement (Usagi match score=0.568131506),0.568131506
181,C1413212,CD24,en_181,None,None,CD24 (CD24 molecule) gene variant measurement (Usagi match score=1),1
182,C1414995;C1825291,GATA4|FEZF2,en_182,None,None,FEZF2 (FEZ family zinc finger 2) gene variant measurement (Usagi match score=0.601038218),0.601038218
183,C1826313;C1826383,MT1JP|NCAPG2,en_183,None,None,NCAPG2 (non-SMC condensin II complex subunit G2) gene variant measurement (Usagi match score=0.457034737),0.457034737
184,C1417921;C1538309,OAZ1|CEP131,en_184,None,None,OAZ1 (ornithine decarboxylase antizyme 1) gene variant measurement (Usagi match score=0.505100727),0.505100727
185,C1415576;C1837204,HLA-DRB1|RBM45,en_185,None,None,RBM45 (RNA binding motif protein 45) gene variant measurement (Usagi match score=0.552454948),0.552454948
186,C1415932;C1424885,IGFBP7|TAF8,en_186,None,None,IGFBP7 (insulin like growth factor binding protein 7) gene variant measurement (Usagi match score=0.600020349),0.600020349
187,C1418985;C1427049,PSEN1|TAS2R62P,en_187,None,None,TAS2R60 (taste 2 receptor member 60) gene variant measurement (Usagi match score=0.504942596),0.504942596
188,C1425131;C1427027,CHPT1|DHDDS,en_188,None,None,DHDDS (dehydrodolichyl diphosphate synthase subunit) gene variant measurement (Usagi match score=0.505964756),0.505964756
189,C1414440;C1413752;C1825549,ERCC8|CSH1|HSPA9,en_189,None,None,HSPA9 (heat shock protein family A (Hsp70) member 9) gene variant measurement (Usagi match score=0.396689743),0.396689743
190,C1418897;C1418898;C1418899,PRKAA1|PRKAA2|PRKAB1,en_190,None,None,PRKAA2 (protein kinase AMP-activated catalytic subunit alpha 2) gene variant measurement (Usagi match score=0.515888691),0.515888691
191,C1413238,"CD79A,LOC102723407",en_191,None,None,CD79A (CD79a molecule) gene variant measurement (Usagi match score=0.491649956),0.491649956
192,C1413336;C1420167;C1538586,CEL|SLC27A5|PARP9,en_192,None,None,SLC27A5 (solute carrier family 27 member 5) gene variant measurement (Usagi match score=0.573766649),0.573766649
193,C1416706;C1846723;C1425758,TNPO1|RPTOR|MAPKAP1,en_193,None,None,MAPKAP1 (MAPK associated protein 1) gene variant measurement (Usagi match score=0.466905773),0.466905773
194,C1417374;C1420394;C1427086,MSR1|SRA1|APBB3,en_194,None,None,APBB3 (amyloid beta precursor protein binding family B member 3) gene variant measurement (Usagi match score=0.454929799),0.454929799
195,C1424787;C1825842;C1842089,PLA2G15|ACSS2|ACCS,en_195,None,None,PLA2G15 (phospholipase A2 group XV) gene variant measurement (Usagi match score=0.530885756),0.530885756
196,C1425391;C1539338;C1422069,RCBTB1|EHMT1|GOLGA6A,en_196,None,None,RCBTB1 (RCC1 and BTB domain containing protein 1) gene variant measurement (Usagi match score=0.447952241),0.447952241
197,C1422036;C3147215;C3147213;C4320280,ERVW-1|ERVK-20|ERVK-18|ERVK-32,en_197,None,None,"ERVW-1 (endogenous retrovirus group W member 1, envelope) gene variant measurement (Usagi match score=0.392912567)",0.392912567
198,C1366555;C1414144,DPYD|DPYS,en_198,None,None,DPYS (dihydropyrimidinase) gene variant measurement (Usagi match score=0.5069592),0.5069592
199,C1412376;C1413681;C1335283,AMBP|CPOX|PTPN6,en_199,None,None,PTPN6 (protein tyrosine phosphatase non-receptor type 6) gene variant measurement (Usagi match score=0.461808413),0.461808413
200,C1332127;C1415507;C1420085;C1420452;C1424798,AZU1|HDLBP|SLBP|STAM2|HEBP1,en_200,None,None,HDLBP (high density lipoprotein binding protein) gene variant measurement (Usagi match score=0.365278721),0.365278721
201,C1367551;C1335796,CALCA|S100A12,en_201,None,None,S100A12 (S100 calcium binding protein A12) gene variant measurement (Usagi match score=0.668772876),0.668772876
202,C0000530,5'-NUCLEOTIDASE,en_202,None,None,Deficiency of 5'-nucleotidase (Usagi match score=0.822515845),0.822515845
203,C0000545,Eicosapentaenoic Acid,en_203,None,None,Eicosapentaenoic acid (Usagi match score=1),1
204,C0000665,Oxyquinoline,en_204,None,None,oxyquinoline (Usagi match score=1),1
205,C0000727,"Abdomen, Acute",en_205,None,None,Acute abdomen (Usagi match score=0.763611376),0.763611376
206,C0000786,Spontaneous abortion,en_206,None,None,Miscarriage (Usagi match score=1),1
207,C0000809,"Abortion, Habitual",en_207,None,None,Recurrent miscarriage (Usagi match score=0.8134076),0.8134076
208,C0000811,Termination of pregnancy,en_208,None,None,Termination of pregnancy (Usagi match score=1),1
209,C0000814,"Abortion, Missed",en_209,None,None,Missed miscarriage (Usagi match score=0.734637201),0.734637201
210,C0000833,Abscess,en_210,None,None,Abscess (Usagi match score=1),1
211,C0000924,Accidents,en_211,None,None,Accident (Usagi match score=0.866625667),0.866625667
212,C0000934,Acclimatization,en_212,None,None,Acclimation (Usagi match score=1),1
213,C0000936,Visual Accommodation,en_213,None,None,Cycloplegia (Usagi match score=0.863466024),0.863466024
214,C0000937,Accountant,en_214,None,None,Accountant (Usagi match score=1),1
215,C0000970,Acetaminophen,en_215,None,None,Acetaminophen (Usagi match score=1),1
216,C0000975,Acetate,en_216,None,None,Acetate (Usagi match score=1),1
217,C0001041,Acetylcholine,en_217,None,None,Acetylcholine (Usagi match score=1),1
218,C0001044,Acetylcholinesterase,en_218,None,None,acetylcholinesterase (Usagi match score=1),1
219,C0001047,Acetylcysteine,en_219,None,same_as (infered) Fluimucil,acetylcysteine (Usagi match score=1),1
220,C0001068,Acetyltransferase,en_220,None,None,CHAT (choline O-acetyltransferase) gene variant measurement (Usagi match score=0.895629883),0.895629883
221,C0001072,Achievement,en_221,None,None,Chieve (Usagi match score=0.806726158),0.806726158
222,C0001122,Acidosis,en_222,None,None,Acidosis (Usagi match score=1),1
223,C0001125,"Acidosis, Lactic",en_223,None,None,Lactic acidosis (Usagi match score=0.69525224),0.69525224
