index,subject_en,subject_cui,start_id,predicate_en,object_en,object_cui,end_id,source_count,research_count,AFFECTS,influence_relation,evidence_level
47,"C5,C5AR1",C1367710;C1824180,en_170,CAUSES,Syndrome,C0039082,en_2197,1,1,AFFECTS,Excitatory,3
48,CA2|SLC25A20,C1413043;C1413076,en_172,CAUSES,Thrombosis,C0040053,en_2233,4,1,AFFECTS,Excitatory,3
49,"GABPA,NFE2L2",C1414905;C1417701,en_177,CAUSES,Up-Regulation (Physiology),C0041904,en_2313,1,1,AFFECTS,Excitatory,3
50,"GABPA,NFE2L2",C1414905;C1417701,en_177,CAUSES,Oxidative Stress,C0242606,en_3422,1,1,AFFECTS,Excitatory,3
51,"GATA4,FEZF2",C1414995;C1825291,en_182,CAUSES,Adequate anesthesia,C0475812,en_4147,1,1,AFFECTS,Excitatory,3
52,"MT1JP,NCAPG2",C1826313;C1826383,en_183,CAUSES,Cell Death,C0007587,en_587,3,1,AFFECTS,Excitatory,3
53,"MT1JP,NCAPG2",C1826313;C1826383,en_183,CAUSES,Necrosis,C0027540,en_1645,1,1,AFFECTS,Excitatory,3
54,"Abortion, Habitual",C0000809,en_207,CAUSES,Premature Birth,C0151526,en_2860,1,1,AFFECTS,Excitatory,3
55,Accidents,C0000924,en_211,CAUSES,physical disorders,C0683323,en_4659,1,1,AFFECTS,Excitatory,3
56,Acetylcysteine,C0001047,en_219,CAUSES,Apoptosis,C0162638,en_2922,1,1,AFFECTS,Excitatory,8
57,Acinetobacter,C0001138,en_225,CAUSES,Secondary infection,C0442886,en_4061,1,1,AFFECTS,Excitatory,3
58,Acquired Immunodeficiency Syndrome,C0001175,en_226,CAUSES,Cessation of life,C0011065,en_762,4,3,AFFECTS,Excitatory,9
59,Acquired Immunodeficiency Syndrome,C0001175,en_226,CAUSES,Chronic inflammation,C0021376,en_1309,1,1,AFFECTS,Excitatory,3
60,"Pancreatitis, Acute",C0001339,en_231,CAUSES,Hospitalization,C0019993,en_1206,1,1,AFFECTS,Excitatory,6
61,Adenosine,C0001443,en_236,CAUSES,anti-inflammatory response,C1154987,en_5310,1,1,AFFECTS,Excitatory,3
62,Adenoviruses,C0001483,en_239,CAUSES,Eye Infections,C0015403,en_953,2,1,AFFECTS,Excitatory,3
63,Adenoviruses,C0001483,en_239,CAUSES,Infection,C3714514,en_6235,2,1,AFFECTS,Excitatory,3
64,Immunologic Adjuvants,C0001551,en_242,CAUSES,Immunity,C0020964,en_1273,1,1,AFFECTS,Excitatory,3
65,Adrenal Cortex Hormones,C0001617,en_247,CAUSES,Diabetes,C0011847,en_797,2,1,AFFECTS,Excitatory,3
66,Adrenal Cortex Hormones,C0001617,en_247,CAUSES,Exocytosis,C0015283,en_943,1,1,AFFECTS,Excitatory,3
67,Aerosols,C0001712,en_254,CAUSES,Disease,C0012634,en_826,2,1,AFFECTS,Excitatory,3
68,Ageusia,C0001800,en_259,CAUSES,Cessation of life,C0011065,en_762,2,1,AFFECTS,Excitatory,3
69,Ageusia,C0001800,en_259,CAUSES,Malnutrition,C0162429,en_2910,1,1,AFFECTS,Excitatory,3
70,Air,C0001861,en_264,CAUSES,Dysbarism,C0004760,en_446,1,1,AFFECTS,Excitatory,3
71,Air,C0001861,en_264,CAUSES,Subcutaneous Emphysema,C0038536,en_2175,1,1,AFFECTS,Excitatory,3
72,Air Pollution,C0001873,en_265,CAUSES,Disease,C0012634,en_826,1,1,AFFECTS,Excitatory,3
73,Air Pollution,C0001873,en_265,CAUSES,Myocardial Infarction,C0027051,en_1625,1,1,AFFECTS,Excitatory,3
74,Air Pollution,C0001873,en_265,CAUSES,Cerebrovascular accident,C0038454,en_2169,1,1,AFFECTS,Excitatory,3
75,alcohol use disorder,C0001956,en_270,CAUSES,Alcohol withdrawal syndrome,C0236663,en_3339,1,1,AFFECTS,Excitatory,6
76,Ethanol,C0001962,en_271,CAUSES,Present,C0150312,en_2833,1,1,AFFECTS,Excitatory,6
77,Ethanol,C0001962,en_271,CAUSES,heavy drinking,C0687132,en_4684,1,1,AFFECTS,Excitatory,6
78,Methanol,C0001963,en_272,CAUSES,Symptoms,C1457887,en_5784,1,1,AFFECTS,Excitatory,3
79,Allergens,C0002092,en_279,CAUSES,Asthma,C0004096,en_418,1,1,AFFECTS,Excitatory,3
80,Allergens,C0002092,en_279,CAUSES,Inflammation,C0021368,en_1307,1,1,AFFECTS,Excitatory,3
81,Allergens,C0002092,en_279,CAUSES,Pulmonary Eosinophilia,C0034068,en_1931,1,1,AFFECTS,Excitatory,3
82,Alopecia Areata,C0002171,en_283,CAUSES,Immune Tolerance,C0020963,en_1272,1,1,AFFECTS,Excitatory,3
83,Alzheimer's Disease,C0002395,en_291,CAUSES,Disease,C0012634,en_826,1,1,AFFECTS,Excitatory,3
84,Alzheimer's Disease,C0002395,en_291,CAUSES,Senile Plaques,C0333463,en_3764,1,1,AFFECTS,Excitatory,3
85,Amantadine,C0002403,en_292,CAUSES,Inflammation,C0021368,en_1307,1,1,AFFECTS,Excitatory,3
86,Aminolevulinic Acid,C0002563,en_302,CAUSES,Plethora,C0232370,en_3277,1,1,AFFECTS,Excitatory,3
87,Amyotrophic Lateral Sclerosis,C0002736,en_310,CAUSES,Degenerative abnormality,C0011164,en_770,1,1,AFFECTS,Excitatory,3
88,Analgesics,C0002771,en_312,CAUSES,Rheumatoid Arthritis,C0003873,en_402,1,1,AFFECTS,Excitatory,3
89,Analgesics,C0002771,en_312,CAUSES,Gout,C0018099,en_1091,1,1,AFFECTS,Excitatory,3
90,Analgesics,C0002771,en_312,CAUSES,Tendinitis,C0039503,en_2213,1,1,AFFECTS,Excitatory,3
91,Analgesics,C0002771,en_312,CAUSES,"Diabetes Insipidus, Nephrogenic",C0162283,en_2902,1,1,AFFECTS,Excitatory,3
92,Androgens,C0002844,en_315,CAUSES,Obesity,C0028754,en_1699,1,1,AFFECTS,Excitatory,3
93,General Anesthesia,C0002915,en_320,CAUSES,Little's Disease,C0023882,en_1451,2,1,AFFECTS,Excitatory,3
94,Anesthetics,C0002932,en_322,CAUSES,Symptoms,C1457887,en_5784,2,1,AFFECTS,Excitatory,3
95,"Angioplasty, Balloon",C0002996,en_326,CAUSES,Inflammation,C0021368,en_1307,1,1,AFFECTS,Excitatory,3
96,Angiotensin II,C0003009,en_328,CAUSES,Fibrosis,C0016059,en_994,1,1,AFFECTS,Excitatory,3
97,Angiotensin II,C0003009,en_328,CAUSES,Hypertensive disease,C0020538,en_1239,1,1,AFFECTS,Excitatory,3
98,Angiotensin II,C0003009,en_328,CAUSES,Pulmonary Edema,C0034063,en_1929,1,1,AFFECTS,Excitatory,3
99,Angiotensin II,C0003009,en_328,CAUSES,Increased blood vessel permeability,C0232374,en_3278,1,1,AFFECTS,Excitatory,3
100,Angiotensin II,C0003009,en_328,CAUSES,Acute Lung Injury,C0242488,en_3416,1,1,AFFECTS,Excitatory,3
101,Angiotensin II,C0003009,en_328,CAUSES,Systemic disease,C0442893,en_4062,1,1,AFFECTS,Excitatory,3
102,Angiotensin II,C0003009,en_328,CAUSES,Cardiac Hypertrophy,C1383860,en_5688,1,1,AFFECTS,Excitatory,3
103,"Receptor, Angiotensin II",C0003011,en_329,CAUSES,Up-Regulation (Physiology),C0041904,en_2313,1,1,AFFECTS,Excitatory,3
104,Angiotensin-Converting Enzyme Inhibitors,C0003015,en_330,CAUSES,Up-Regulation (Physiology),C0041904,en_2313,1,1,AFFECTS,Excitatory,3
105,Angiotensins,C0003018,en_332,CAUSES,Hypertensive disease,C0020538,en_1239,1,1,AFFECTS,Excitatory,3
106,Angiotensins,C0003018,en_332,CAUSES,Vasodilation,C0042401,en_2342,1,1,AFFECTS,Excitatory,3
107,Angiotensins,C0003018,en_332,CAUSES,Pulmonary failure,C0948755,en_5173,1,1,AFFECTS,Excitatory,3
108,Animal Diseases,C0003047,en_333,CAUSES,Disease,C0012634,en_826,1,1,AFFECTS,Excitatory,3
109,Anosmia,C0003126,en_337,CAUSES,Cessation of life,C0011065,en_762,2,1,AFFECTS,Excitatory,3
110,"Anti-Infective Agents, Local",C0003205,en_341,CAUSES,Death (finding),C1306577,en_5521,1,1,AFFECTS,Excitatory,3
111,Anti-Inflammatory Agents,C0003209,en_342,CAUSES,Pneumonia,C0032285,en_1833,1,1,AFFECTS,Excitatory,7
112,Anti-Inflammatory Agents,C0003209,en_342,CAUSES,Underlying,C4722602,en_6385,1,1,AFFECTS,Excitatory,8
113,"Anti-Inflammatory Agents, Non-Steroidal",C0003211,en_343,CAUSES,Exocytosis,C0015283,en_943,1,1,AFFECTS,Excitatory,3
114,Antibiotics,C0003232,en_344,CAUSES,Bacterial Infections,C0004623,en_441,1,1,AFFECTS,Excitatory,3
115,Antibodies,C0003241,en_347,CAUSES,Immunity,C0020964,en_1273,1,1,AFFECTS,Excitatory,3
116,Antibodies,C0003241,en_347,CAUSES,Virus Diseases,C0042769,en_2362,1,1,AFFECTS,Excitatory,3
117,Antibodies,C0003241,en_347,CAUSES,Injury,C0175677,en_2968,1,1,AFFECTS,Excitatory,3
118,Antibodies,C0003241,en_347,CAUSES,Immune response,C0301872,en_3696,2,2,AFFECTS,Excitatory,6
119,Antibodies,C0003241,en_347,CAUSES,"Passive immunity, function",C0678210,en_4555,2,1,AFFECTS,Excitatory,3
120,Antibodies,C0003241,en_347,CAUSES,PATIENT SYMPTOMS,C1317600,en_5529,1,1,AFFECTS,Excitatory,3
121,Antibodies,C0003241,en_347,CAUSES,Symptoms,C1457887,en_5784,1,1,AFFECTS,Excitatory,3
122,Antibodies,C0003241,en_347,CAUSES,COVID-19,C5203670,en_6417,1,1,AFFECTS,Excitatory,7
123,"Antibodies, Anti-Idiotypic",C0003242,en_348,CAUSES,Cytokine storm,C0919747,en_5119,1,1,AFFECTS,Excitatory,7
124,Monoclonal Antibodies,C0003250,en_350,CAUSES,Myocarditis,C0027059,en_1627,1,1,AFFECTS,Excitatory,3
125,Monoclonal Antibodies,C0003250,en_350,CAUSES,Virus Diseases,C0042769,en_2362,1,1,AFFECTS,Excitatory,3
126,Antidepressive Agents,C0003289,en_356,CAUSES,Sleep disturbances,C0037317,en_2121,1,1,AFFECTS,Excitatory,3
127,Antifibrinolytic Agents,C0003304,en_359,CAUSES,Lysis,C0024348,en_1476,1,1,AFFECTS,Excitatory,6
128,Antigens,C0003320,en_365,CAUSES,Abscess,C0000833,en_210,1,1,AFFECTS,Excitatory,3
129,Antigens,C0003320,en_365,CAUSES,Maximal Voluntary Ventilation,C0024967,en_1511,2,1,AFFECTS,Excitatory,3
130,Antigens,C0003320,en_365,CAUSES,Cytokine storm,C0919747,en_5119,3,1,AFFECTS,Excitatory,3
131,Antigens,C0003320,en_365,CAUSES,Organ failure,C0948600,en_5171,4,1,AFFECTS,Excitatory,3
132,Antigens,C0003320,en_365,CAUSES,Allergic Reaction,C1527304,en_5919,1,1,AFFECTS,Excitatory,3
133,"Antigens, Viral",C0003342,en_366,CAUSES,Disease,C0012634,en_826,1,1,AFFECTS,Excitatory,3
134,Antimalarials,C0003374,en_369,CAUSES,uptake,C0243144,en_3467,1,1,AFFECTS,Excitatory,3
135,Antimalarials,C0003374,en_369,CAUSES,Death (finding),C1306577,en_5521,1,1,AFFECTS,Excitatory,3
136,Antineoplastic Agents,C0003392,en_371,CAUSES,Cytokine release syndrome,C0948245,en_5163,1,1,AFFECTS,Excitatory,3
137,Antipyretics,C0003419,en_375,CAUSES,Rheumatoid Arthritis,C0003873,en_402,1,1,AFFECTS,Excitatory,3
138,Antipyretics,C0003419,en_375,CAUSES,Gout,C0018099,en_1091,1,1,AFFECTS,Excitatory,3
139,Antipyretics,C0003419,en_375,CAUSES,Tendinitis,C0039503,en_2213,1,1,AFFECTS,Excitatory,3
140,Antipyretics,C0003419,en_375,CAUSES,"Diabetes Insipidus, Nephrogenic",C0162283,en_2902,1,1,AFFECTS,Excitatory,3
141,Anxiety,C0003467,en_380,CAUSES,Epilepsy,C0014544,en_917,1,1,AFFECTS,Excitatory,6
142,Arbovirus Infections,C0003723,en_391,CAUSES,Infection,C3714514,en_6235,1,1,AFFECTS,Excitatory,3
143,Arboviruses,C0003725,en_392,CAUSES,Virus Diseases,C0042769,en_2362,1,1,AFFECTS,Excitatory,3
144,Arboviruses,C0003725,en_392,CAUSES(SPEC),Disease,C0012634,en_826,1,1,AFFECTS,Excitatory,3
145,cardiac arrhythmia,C0003811,en_397,CAUSES,Cardiovascular Diseases,C0007222,en_569,1,1,AFFECTS,Excitatory,3
146,cardiac arrhythmia,C0003811,en_397,CAUSES,Heart failure,C0018801,en_1135,2,2,AFFECTS,Excitatory,6
147,cardiac arrhythmia,C0003811,en_397,CAUSES,Cerebrovascular accident,C0038454,en_2169,1,1,AFFECTS,Excitatory,3
148,cardiac arrhythmia,C0003811,en_397,CAUSES,Blind Vision,C0456909,en_4120,1,1,AFFECTS,Excitatory,3
149,Arteriosclerosis,C0003850,en_399,CAUSES,Lower limb ischemia,C0340565,en_3818,1,1,AFFECTS,Excitatory,3
150,Rheumatoid Arthritis,C0003873,en_402,CAUSES(SPEC),Edema,C0013604,en_877,1,1,AFFECTS,Excitatory,3
151,Rheumatoid Arthritis,C0003873,en_402,CAUSES(SPEC),Disability NOS,C0231170,en_3247,1,1,AFFECTS,Excitatory,3
152,Ascorbic Acid,C0003968,en_405,CAUSES,Diarrhea,C0011991,en_810,1,1,AFFECTS,Excitatory,3
153,Ascorbic Acid,C0003968,en_405,CAUSES,Septicemia,C0036690,en_2086,1,1,AFFECTS,Excitatory,3
154,Ascorbic Acid,C0003968,en_405,CAUSES,Injury,C0175677,en_2968,1,1,AFFECTS,Excitatory,3
155,Ascorbic Acid Deficiency,C0003969,en_406,CAUSES,Scurvy,C0036474,en_2074,1,1,AFFECTS,Excitatory,3
156,Aspergillus,C0004034,en_411,CAUSES,Secondary infection,C0442886,en_4061,1,1,AFFECTS,Excitatory,3
157,Aspergillus,C0004034,en_411,CAUSES,Infectious disease of lung,C0876973,en_5058,2,1,AFFECTS,Excitatory,3
158,Aspergillus fumigatus,C0004037,en_412,CAUSES,Invasive mycosis,C1262313,en_5421,1,1,AFFECTS,Excitatory,3
159,Aspirin,C0004057,en_414,CAUSES,Respiration Disorders,C0035204,en_2005,1,1,AFFECTS,Excitatory,3
160,Asthenia,C0004093,en_416,CAUSES,Chronic Fatigue Syndrome,C0015674,en_967,4,2,AFFECTS,Excitatory,6
161,Asthma,C0004096,en_418,CAUSES,Respiratory distress,C0476273,en_4149,1,1,AFFECTS,Excitatory,3
162,Asthma,C0004096,en_418,CAUSES,Inflammatory Response,C1155266,en_5321,1,1,AFFECTS,Excitatory,3
163,Asthma,C0004096,en_418,CAUSES(SPEC),Hospitalization,C0019993,en_1206,1,1,AFFECTS,Excitatory,3
164,Asthma,C0004096,en_418,CAUSES(SPEC),Hypercapnic respiratory failure,C0398353,en_3947,1,1,AFFECTS,Excitatory,3
165,Asthma,C0004096,en_418,CAUSES(SPEC),Symptoms,C1457887,en_5784,1,1,AFFECTS,Excitatory,3
166,Atherosclerosis,C0004153,en_421,CAUSES,Myocardial Infarction,C0027051,en_1625,1,1,AFFECTS,Excitatory,3
167,Atherosclerosis,C0004153,en_421,CAUSES,Cerebrovascular accident,C0038454,en_2169,1,1,AFFECTS,Excitatory,3
168,Atrial Fibrillation,C0004238,en_423,CAUSES,Heart failure,C0018801,en_1135,2,2,AFFECTS,Excitatory,6
169,Atrial Fibrillation,C0004238,en_423,CAUSES,Cerebrovascular accident,C0038454,en_2169,1,1,AFFECTS,Excitatory,3
170,Autoantibodies,C0004358,en_426,CAUSES,Injury,C0175677,en_2968,1,1,AFFECTS,Excitatory,3
171,Autoantibodies,C0004358,en_426,CAUSES,Adverse reactions,C0559546,en_4315,1,1,AFFECTS,Excitatory,3
172,Autoantibodies,C0004358,en_426,CAUSES,cell injury,C0599732,en_4467,1,1,AFFECTS,Excitatory,3
173,Autoantibodies,C0004358,en_426,CAUSES,Inflammatory Response,C1155266,en_5321,1,1,AFFECTS,Excitatory,3
174,Autoimmune Diseases,C0004364,en_428,CAUSES,Communicable Diseases,C0009450,en_685,2,1,AFFECTS,Excitatory,3
175,Autoimmune Diseases,C0004364,en_428,CAUSES,"Diabetes Mellitus, Insulin-Dependent",C0011854,en_799,2,1,AFFECTS,Excitatory,3
176,Autoimmune Diseases,C0004364,en_428,CAUSES,Disability NOS,C0231170,en_3247,1,1,AFFECTS,Excitatory,3
177,Autoimmunity,C0004368,en_430,CAUSES,Syndrome,C0039082,en_2197,1,1,AFFECTS,Excitatory,3
178,Bacteria,C0004611,en_440,CAUSES,Cessation of life,C0011065,en_762,1,1,AFFECTS,Excitatory,3
179,Bacteria,C0004611,en_440,CAUSES,Disease,C0012634,en_826,2,2,AFFECTS,Excitatory,6
180,Bacteria,C0004611,en_440,CAUSES,Infection,C3714514,en_6235,3,3,AFFECTS,Excitatory,9
181,Bacteria,C0004611,en_440,CAUSES,Periodontal Diseases,C0031090,en_1774,1,1,AFFECTS,Excitatory,3
182,Bacteria,C0004611,en_440,CAUSES,Periodontitis,C0031099,en_1775,1,1,AFFECTS,Excitatory,3
183,Bacteria,C0004611,en_440,CAUSES,Peritonitis,C0031154,en_1778,2,1,AFFECTS,Excitatory,3
184,Bacteria,C0004611,en_440,CAUSES,Respiration Disorders,C0035204,en_2005,1,1,AFFECTS,Excitatory,3
185,Bacteria,C0004611,en_440,CAUSES,Respiratory Tract Infections,C0035243,en_2017,2,2,AFFECTS,Excitatory,6
186,Bacteria,C0004611,en_440,CAUSES,"Infections, Hospital",C0205721,en_3133,1,1,AFFECTS,Excitatory,3
187,Bacteria,C0004611,en_440,CAUSES,Acute respiratory infection NOS,C0339901,en_3809,1,1,AFFECTS,Excitatory,3
188,Bacteria,C0004611,en_440,CAUSES,Animal Development,C0870137,en_5000,5,2,AFFECTS,Excitatory,6
189,Bacteria,C0004611,en_440,CAUSES,Infectious disease of lung,C0876973,en_5058,2,1,AFFECTS,Excitatory,3
190,Bacteria,C0004611,en_440,CAUSES,Nosocomial pneumonia,C0949083,en_5175,3,1,AFFECTS,Excitatory,3
191,Bacterial Infections,C0004623,en_441,CAUSES,Disease,C0012634,en_826,1,1,AFFECTS,Excitatory,3
192,Bacterial Infections,C0004623,en_441,CAUSES,Influenza,C0021400,en_1311,1,1,AFFECTS,Excitatory,3
193,"Pneumonia, Bacterial",C0004626,en_442,CAUSES,PULMONARY INVOLVEMENT,C0748159,en_4828,1,1,AFFECTS,Excitatory,7
194,Bacterial Proteins,C0004627,en_443,CAUSES,Inflammatory Response,C1155266,en_5321,1,1,AFFECTS,Excitatory,3
195,Bacteriophages,C0004651,en_444,CAUSES,Secondary infection,C0442886,en_4061,1,1,AFFECTS,Excitatory,3
196,BCG Vaccine,C0004886,en_448,CAUSES,Protection,C1545588,en_5951,1,1,AFFECTS,Excitatory,8
197,BCG Vaccine,C0004886,en_448,CAUSES,Immunity,C0020964,en_1273,1,1,AFFECTS,Excitatory,3
198,Bed rest,C0004910,en_449,CAUSES,Disease,C0012634,en_826,2,1,AFFECTS,Excitatory,3
199,Bed rest,C0004910,en_449,CAUSES,Muscular Atrophy,C0026846,en_1604,3,2,AFFECTS,Excitatory,6
200,Bed rest,C0004910,en_449,CAUSES,"Respiratory Distress Syndrome, Adult",C0035222,en_2010,1,1,AFFECTS,Excitatory,3
201,Bed rest,C0004910,en_449,CAUSES,associated disease,C0243083,en_3459,1,1,AFFECTS,Excitatory,3
202,Benzalkonium Chloride,C0005026,en_454,CAUSES,NEPHROTOXICITY,C0599918,en_4485,1,1,AFFECTS,Excitatory,3
203,Benzene,C0005036,en_455,CAUSES,Malignant neoplasm of lung,C0242379,en_3408,1,1,AFFECTS,Excitatory,3
204,Beryllium,C0005139,en_458,CAUSES,Pneumonia,C0032285,en_1833,1,1,AFFECTS,Excitatory,3
205,Biological Products,C0005522,en_469,CAUSES,Severe Acute Respiratory Syndrome,C1175175,en_5383,1,1,AFFECTS,Excitatory,3
206,Biological Response Modifiers,C0005525,en_470,CAUSES,Cytokine storm,C0919747,en_5119,1,1,AFFECTS,Excitatory,7
207,Biological Response Modifiers,C0005525,en_470,CAUSES,Autoimmune Diseases,C0004364,en_428,2,1,AFFECTS,Excitatory,3
208,Biological Response Modifiers,C0005525,en_470,CAUSES,Pulmonary failure,C0948755,en_5173,1,1,AFFECTS,Excitatory,3
209,Bleomycin,C0005740,en_481,CAUSES,Fibrosis,C0016059,en_994,2,2,AFFECTS,Excitatory,6
210,Bleomycin,C0005740,en_481,CAUSES,Pulmonary Fibrosis,C0034069,en_1932,2,1,AFFECTS,Excitatory,3
211,Blood coagulation,C0005778,en_484,CAUSES,Cessation of life,C0011065,en_762,2,1,AFFECTS,Excitatory,3
212,Blood Coagulation Disorders,C0005779,en_485,CAUSES,Complication,C0009566,en_697,1,1,AFFECTS,Excitatory,6
213,Blood Coagulation Disorders,C0005779,en_485,CAUSES,Cessation of life,C0011065,en_762,1,1,AFFECTS,Excitatory,3
214,Blood Coagulation Disorders,C0005779,en_485,CAUSES,Hospitalization,C0019993,en_1206,1,1,AFFECTS,Excitatory,3
215,Blood Coagulation Disorders,C0005779,en_485,CAUSES,Obstruction,C0028778,en_1702,1,1,AFFECTS,Excitatory,3
216,Blood Coagulation Disorders,C0005779,en_485,CAUSES,Thrombosis,C0040053,en_2233,1,1,AFFECTS,Excitatory,3
217,Blood Coagulation Disorders,C0005779,en_485,CAUSES,Disease of capillaries,C0155765,en_2890,1,1,AFFECTS,Excitatory,3
218,Blood Coagulation Disorders,C0005779,en_485,CAUSES,Acute respiratory failure,C0264490,en_3533,1,1,AFFECTS,Excitatory,3
219,Body Fluids,C0005889,en_496,CAUSES,Pneumonia,C0032285,en_1833,1,1,AFFECTS,Excitatory,3
220,Bradykinin,C0006100,en_507,CAUSES,Injury,C0175677,en_2968,2,1,AFFECTS,Excitatory,3
221,Bronchiolitis,C0006271,en_517,CAUSES,Hospitalization,C0019993,en_1206,1,1,AFFECTS,Excitatory,8
222,Bronchoalveolar Lavage Fluid,C0006279,en_518,CAUSES,Pneumonia,C0032285,en_1833,1,1,AFFECTS,Excitatory,3
