subject_en,subject_cui,start_id,predicate_en,object_en,object_cui,end_id,source,influence_relation
Negative Regulation of Coagulation,C2917212,en_6142,same_as,anticoagulant activity,C1148561,en_5297,UMLS,infered
Methylprednisolone,C0025815,en_1559,same_as,Methylprednisolone pulse therapy,C0587279,en_4362,UMLS,infered
Substance,C0439861,en_4040,same_as,Rehydration,C0034997,en_1990,UMLS,infered
Interferon Regulatory Factor 1,C0063700,en_2508,same_as,IRF1 gene,C1366516,en_5659,UMLS,infered
Vasoactive Intestinal Peptide,C0042395,en_2339,same_as,VIP gene,C1366646,en_5668,UMLS,infered
tocilizumab,C1609165,en_6003,same_as,Tocilizumab therapy,C4510396,en_6356,UMLS,infered
Poractant alfa,C0771648,en_4873,same_as,Curosurf,C0111318,en_2761,UMLS,infered
sargramostim,C0216231,en_3191,same_as,Leukine,C0701500,en_4732,UMLS,infered
valsartan,C0216784,en_3193,same_as,Entresto,C4033616,en_6297,UMLS,infered
ciclesonide,C0907850,en_5095,same_as,Alvesco,C1174745,en_5380,UMLS,infered
Dual Specificity Phosphatase 3,C1333317,en_5590,same_as,DUSP3 gene,C1333258,en_5589,UMLS,infered
Capillary Permeability,C0006906,en_551,same_as,Increased blood vessel permeability,C0232374,en_3278,UMLS,infered
